,Equity,Hero,Villain
0,0.5001000500250125,0.0,0.0
1,0.6079754191436777,0.0,1.0
2,0.6993720565149136,0.0,2.0
3,0.75449816662403,0.0,3.0
4,0.7812472120617361,0.0,4.0
5,0.7893980233602875,0.0,5.0
6,0.8102649620159347,0.0,6.0
7,0.8147212869435092,0.0,7.0
8,0.8274754346182918,0.0,8.0
9,0.8179677935775497,0.0,9.0
10,0.8258169310147143,0.0,10.0
11,0.8350268404907976,0.0,11.0
12,0.8389911775987726,0.0,12.0
13,0.8471349888878154,0.0,13.0
14,0.8513631512564277,0.0,14.0
15,0.8445847498785818,0.0,15.0
16,0.8551388212372139,0.0,16.0
17,0.8504863813229572,0.0,17.0
18,0.8584914841849147,0.0,18.0
19,0.8607101053452986,0.0,19.0
20,0.8658250146799765,0.0,20.0
21,0.8640015677052715,0.0,21.0
22,0.8614404703576678,0.0,22.0
23,0.8649019607843137,0.0,23.0
24,0.8596508434680266,0.0,24.0
25,0.8511532447224394,0.0,25.0
26,0.8629625993913812,0.0,26.0
27,0.8562027305765643,0.0,27.0
28,0.8552165354330709,0.0,28.0
29,0.8523879862136878,0.0,29.0
30,0.8555118110236221,0.0,30.0
31,0.8578890312407609,0.0,31.0
32,0.8587375284006717,0.0,32.0
33,0.8584821869140432,0.0,33.0
34,0.8596076111604062,0.0,34.0
35,0.8562252964426877,0.0,35.0
36,0.8538772292836734,0.0,36.0
37,0.8552085392370032,0.0,37.0
38,0.8511857707509882,0.0,38.0
39,0.8565066798614548,0.0,39.0
40,0.8536102868447083,0.0,40.0
41,0.8537428402133124,0.0,41.0
42,0.8583019988125866,0.0,42.0
43,0.8534798534798534,0.0,43.0
44,0.8521008403361344,0.0,44.0
45,0.8516282292388401,0.0,45.0
46,0.8521454761668813,0.0,46.0
47,0.8543670070387628,0.0,47.0
48,0.8573551263001485,0.0,48.0
49,0.8418291596555479,0.0,49.0
50,0.8532091917591126,0.0,50.0
51,0.845650881711908,0.0,51.0
52,0.8531191113755826,0.0,52.0
53,0.8420740154363745,0.0,53.0
54,0.8485719952399842,0.0,54.0
55,0.8524508831117285,0.0,55.0
56,0.8588293650793651,0.0,56.0
57,0.847541633624108,0.0,57.0
58,0.8533677727001788,0.0,58.0
59,0.8443672456575682,0.0,59.0
60,0.847267678270356,0.0,60.0
61,0.8477958697378871,0.0,61.0
62,0.8461385745483423,0.0,62.0
63,0.8437034831795176,0.0,63.0
64,0.8422515635858234,0.0,64.0
65,0.8446053153510512,0.0,65.0
66,0.8452841416245165,0.0,66.0
67,0.8431041335453101,0.0,67.0
68,0.8482498011137629,0.0,68.0
69,0.8435854119049985,0.0,69.0
70,0.8429678188319428,0.0,70.0
71,0.8403937947494032,0.0,71.0
72,0.8482107355864811,0.0,72.0
73,0.840949731770316,0.0,73.0
74,0.8404731140045721,0.0,74.0
75,0.8407668620244364,0.0,75.0
76,0.8430943621358258,0.0,76.0
77,0.843638170974155,0.0,77.0
78,0.8530084535057185,0.0,78.0
79,0.8442280945757997,0.0,79.0
80,0.8473024089189727,0.0,80.0
81,0.845855694692904,0.0,81.0
82,0.8416915422885572,0.0,82.0
83,0.840897805144503,0.0,83.0
84,0.8400119617224879,0.0,84.0
85,0.8409700824967696,0.0,85.0
86,0.8401154114018505,0.0,86.0
87,0.8386135663918959,0.0,87.0
88,0.8362352004775644,0.0,88.0
89,0.8388701014521583,0.0,89.0
90,0.8419483101391649,0.0,90.0
91,0.8469945355191257,0.0,91.0
92,0.8377572323292574,0.0,92.0
93,0.8391364902506964,0.0,93.0
94,0.8384240374092129,0.0,94.0
95,0.8367671941873197,0.0,95.0
96,0.8415338645418327,0.0,96.0
97,0.8434609646941819,0.0,97.0
98,0.8406128743408615,0.0,98.0
99,0.8410220719825015,0.0,99.0
100,0.8427760629294037,0.0,100.0
101,0.3898361529239377,1.0,0.0
102,0.5007986157327299,1.0,1.0
103,0.6129952456418383,1.0,2.0
104,0.6752210110720109,1.0,3.0
105,0.7081885413882205,1.0,4.0
106,0.7194781826360774,1.0,5.0
107,0.7438990182328191,1.0,6.0
108,0.7379163187679747,1.0,7.0
109,0.7579455164585699,1.0,8.0
110,0.7534026465028355,1.0,9.0
111,0.7614125753660638,1.0,10.0
112,0.7701358331739047,1.0,11.0
113,0.771478160254556,1.0,12.0
114,0.7776381909547739,1.0,13.0
115,0.7834512159674449,1.0,14.0
116,0.7831640058055152,1.0,15.0
117,0.7832943925233645,1.0,16.0
118,0.7825114288493337,1.0,17.0
119,0.7860202492211837,1.0,18.0
120,0.7922280804530365,1.0,19.0
121,0.7880206809091796,1.0,20.0
122,0.7929075235109718,1.0,21.0
123,0.7976844583987441,1.0,22.0
124,0.8032931490738018,1.0,23.0
125,0.7899069083782461,1.0,24.0
126,0.7967694566813509,1.0,25.0
127,0.800254951951363,1.0,26.0
128,0.8037980911148283,1.0,27.0
129,0.8017486983004225,1.0,28.0
130,0.8043820003930044,1.0,29.0
131,0.8060641858633588,1.0,30.0
132,0.8155895411938825,1.0,31.0
